,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating,air_reading_id,project_id,recorded_at,pm10,pm2_5,no2,o3,so2,co,date,time,secs_since,time_since,status
10,2502,Station 82,"Mallow, Co. Cork",52.1340485,-8.640705,EPA-82,EPA-82,0000-00-00,25,330237614.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237614, 'monitor_id': 2502, 'project_id': 2399, 'recorded_at': '2022-03-15 13:45:00', 'pm10': 40.9302, 'pm2_5': 10.0007, 'no2': 27.0491, 'o3': 76.3222, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '13:45', 'secs_since': 4479, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 25.76, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 8.97, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'o3': {'start': '2022-03-15 05:01:00', 'end': '2022-03-15 13:00:00', 'value': 71.17, 'num_readings': 32, 'percentage_capture': 100, 'rating': 3}, 'no2': {'start': '2022-03-15 12:01:00', 'end': '2022-03-15 13:00:00', 'value': 15.37, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",41164,3,330237614.0,2399.0,2022-03-15 13:45:00,40.9302,10.0007,27.0491,76.3222,,,15-03-2022,13:45,4479.0,1 hour,green
11,1998,Station 56,"South Link Road, Cork",51.878524,-8.465053,EPA-56,EPA-56,0000-00-00,25,330237534.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237534, 'monitor_id': 1998, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': 15, 'pm2_5': None, 'no2': 17.8287, 'o3': 70.803, 'so2': -4.1747, 'co': 0.42560000000000003, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3579, 'time_since': '59 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 23.46, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'o3': {'start': '2022-03-15 06:01:00', 'end': '2022-03-15 14:00:00', 'value': 48.91, 'num_readings': 32, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': 17.38, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'so2': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': -4.1, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'co': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': 0.43, 'num_readings': 4, 'percentage_capture': 100, 'rating': None}}",64811,2,330237534.0,2399.0,2022-03-15 14:00:00,15.0,,17.8287,70.803,-4.1747,0.42560000000000003,15-03-2022,14:00,3579.0,59 mins,green
12,1969,Station 21 (Ozone Instrument Issue),University College Cork,51.900018,-8.486343,EPA-21,EPA-21,0000-00-00,25,330237440.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237440, 'monitor_id': 1969, 'project_id': 2399, 'recorded_at': '2022-03-15 13:00:00', 'pm10': None, 'pm2_5': -1, 'no2': 4.6176, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '13:00', 'secs_since': 7179, 'time_since': '1 hour', 'status': 'green'}","{'pm2_5': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 5.91, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'no2': {'start': '2022-03-15 12:01:00', 'end': '2022-03-15 13:00:00', 'value': 4.98, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",65702,1,330237440.0,2399.0,2022-03-15 13:00:00,,-1.0,4.6176,,,,15-03-2022,13:00,7179.0,1 hour,green
13,2088,TNO3955,"Buncranna, Co. Donegal",55.137443,-7.456503,TNO3955,TNO3955,0000-00-00,19,330247628.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 330247628, 'monitor_id': 2088, 'project_id': 2497, 'recorded_at': '2022-03-15 14:45:00', 'pm10': 6.2, 'pm2_5': 5.85, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:45', 'secs_since': 879, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 8.94, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 7.71, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",73570,1,330247628.0,2497.0,2022-03-15 14:45:00,6.2,5.85,,,,,15-03-2022,14:45,879.0,14 mins,green
14,2006,Station 64,"Letterkenny, Co. Donegal",54.954644,-7.734842,EPA-64,EPA-64,0000-00-00,25,330246182.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330246182, 'monitor_id': 2006, 'project_id': 2399, 'recorded_at': '2022-03-15 14:30:00', 'pm10': 12.4528, 'pm2_5': 10.9702, 'no2': None, 'o3': None, 'so2': 3.6987, 'co': None, 'date': '15-03-2022', 'time': '14:30', 'secs_since': 1779, 'time_since': '29 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 20.79, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 16.19, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'so2': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': 4.44, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",65835,2,330246182.0,2399.0,2022-03-15 14:30:00,12.4528,10.9702,,,3.6987,,15-03-2022,14:30,1779.0,29 mins,green
15,1975,Station 27 (Protracted Communication Issue),"Malin Head, Co. Donegal",55.372036,-7.339224,EPA-27,EPA-27,0000-00-00,25,268346044.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 268346044, 'monitor_id': 1975, 'project_id': 2399, 'recorded_at': '2021-09-29 18:00:00', 'pm10': None, 'pm2_5': None, 'no2': None, 'o3': 48.7749, 'so2': None, 'co': None, 'date': '29-09-2021', 'time': '18:00', 'secs_since': 14421580, 'time_since': '5 months', 'status': 'red'}","{'o3': {'start': '2021-09-29 10:01:00', 'end': '2021-09-29 18:00:00', 'value': 66.09, 'num_readings': 5, 'percentage_capture': 62}}",14819,0,268346044.0,2399.0,2021-09-29 18:00:00,,,,48.7749,,,29-09-2021,18:00,14421580.0,5 months,red
16,2132,TNO2579,"Amiens Street, Dublin 1",53.352988,-6.248738,TNO2579-EPA,TNO2579-EPA,0000-00-00,19,330249314.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 330249314, 'monitor_id': 2132, 'project_id': 2497, 'recorded_at': '2022-03-15 14:45:00', 'pm10': 8, 'pm2_5': 5.34, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:45', 'secs_since': 880, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 10.62, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 6.79, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",75556,1,330249314.0,2497.0,2022-03-15 14:45:00,8.0,5.34,,,,,15-03-2022,14:45,880.0,14 mins,green
17,1992,Station 50,"Ballyfermot, Dublin 10",53.340159,-6.351706,EPA-50,EPA-50,0000-00-00,25,330237515.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237515, 'monitor_id': 1992, 'project_id': 2399, 'recorded_at': '2022-03-15 13:30:00', 'pm10': 12.784, 'pm2_5': 5.9063, 'no2': 9.282, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '13:30', 'secs_since': 5380, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 15.93, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 13:01:00', 'end': '2022-03-15 13:00:00', 'value': 8.85, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'no2': {'start': '2022-03-15 12:01:00', 'end': '2022-03-15 13:00:00', 'value': 11.38, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",65774,1,330237515.0,2399.0,2022-03-15 13:30:00,12.784,5.9063,9.282,,,,15-03-2022,13:30,5380.0,1 hour,green
18,2130,TNT1296,"Ballymun Library, Dublin 9",53.390433,-6.26527,TNT1296-EPA,TNT1296-EPA,0000-00-00,27,330249311.0,"{'monitor_type_id': 27, 'name': 'Topas', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNT1234', 'sample_serial_number': 'TNT1234'}","{'air_reading_id': 330249311, 'monitor_id': 2130, 'project_id': 2497, 'recorded_at': '2022-03-15 14:45:00', 'pm10': 4.6, 'pm2_5': 3.45, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:45', 'secs_since': 880, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 6.46, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 5.03, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",254669,1,330249311.0,2497.0,2022-03-15 14:45:00,4.6,3.45,,,,,15-03-2022,14:45,880.0,14 mins,green
19,1977,Station 29,"Blanchardstown, Dublin 15",53.38539,-6.369211,EPA-29,EPA-29,0000-00-00,25,330237470.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237470, 'monitor_id': 1977, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': 8.9415, 'pm2_5': 3.4551, 'no2': 4.0354, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3580, 'time_since': '59 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 23.08, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 9.85, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'no2': {'start': '2022-03-15 13:01:00', 'end': '2022-03-15 14:00:00', 'value': 3.99, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",65730,2,330237470.0,2399.0,2022-03-15 14:00:00,8.9415,3.4551,4.0354,,,,15-03-2022,14:00,3580.0,59 mins,green
20,3819,TNO4437,"Cabra Community College, Dublin 7",53.3687022,-6.2943216,TNO4437-EPA,TNO4437-EPA,0000-00-00,19,330245863.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 330245863, 'monitor_id': 3819, 'project_id': 2497, 'recorded_at': '2022-03-15 14:45:00', 'pm10': 8.4, 'pm2_5': 4.96, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:45', 'secs_since': 880, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 10.18, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 6.15, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",3131,1,330245863.0,2497.0,2022-03-15 14:45:00,8.4,4.96,,,,,15-03-2022,14:45,880.0,14 mins,green
21,1981,Station 33,"Clonskeagh, Dublin 14",53.311783,-6.235325,EPA-33,EPA-33,0000-00-00,25,330237475.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 330237475, 'monitor_id': 1981, 'project_id': 2399, 'recorded_at': '2022-03-15 14:00:00', 'pm10': 12.94, 'pm2_5': 9.217, 'no2': None, 'o3': 83.5261, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:00', 'secs_since': 3580, 'time_since': '59 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 12.29, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 8.21, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'o3': {'start': '2022-03-15 06:01:00', 'end': '2022-03-15 14:00:00', 'value': 75.75, 'num_readings': 8, 'percentage_capture': 25, 'rating': 0}}",48902,3,330237475.0,2399.0,2022-03-15 14:00:00,12.94,9.217,,83.5261,,,15-03-2022,14:00,3580.0,59 mins,green
22,2134,TNO2162,"Coolock, Dublin 5",53.390542,-6.202395,TNO2162-EPA,TNO2162-EPA,0000-00-00,19,330246610.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 330246610, 'monitor_id': 2134, 'project_id': 2497, 'recorded_at': '2022-03-15 14:45:00', 'pm10': 12.7, 'pm2_5': 6.28, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:45', 'secs_since': 880, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 10.99, 'num_readings': 97, 'percentage_capture': 101, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 7.87, 'num_readings': 97, 'percentage_capture': 101, 'rating': 1}}",55776,1,330246610.0,2497.0,2022-03-15 14:45:00,12.7,6.28,,,,,15-03-2022,14:45,880.0,14 mins,green
23,2133,TNO2161,"Custom House Quay, Dublin 1",53.347863,-6.243785,TNO2161-EPA,TNO2161-EPA,0000-00-00,19,330246595.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 330246595, 'monitor_id': 2133, 'project_id': 2497, 'recorded_at': '2022-03-15 14:45:00', 'pm10': 2.2, 'pm2_5': 1.15, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '15-03-2022', 'time': '14:45', 'secs_since': 880, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 3.03, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}, 'pm2_5': {'start': '2022-03-14 14:01:00', 'end': '2022-03-15 14:00:00', 'value': 1.94, 'num_readings': 96, 'percentage_capture': 100, 'rating': 1}}",56593,1,330246595.0,2497.0,2022-03-15 14:45:00,2.2,1.15,,,,,15-03-2022,14:45,880.0,14 mins,green
